silo,seed,keyword,intent,volume,kd,bron,opmerking
pianobar,pianobar,pianobar,C,390,26,SEMrush NL,HOOFD-KW silo (was niet in originele sitemap)
pianobar,pianobar,de grootste pianobar van nederland,n/a,70,n/a,SEMrush NL,positionerings-claim
pianobar,pianobar,pianobar rotterdam,n/a,30,n/a,SEMrush NL,Rotterdam haalt enige stad-volume
pianobar,pianobar,live amsterdam pianobar,N,1600,27,SEMrush NL,merknaam (Live Amsterdam)
pianobar,pianobar,pianobar maxim,I,1300,21,SEMrush NL,merknaam (Maxim)
pianobar,pianobar,pianobar amsterdam,C,590,30,SEMrush NL,Amsterdam dominant - waar wij NIET zitten
pianoshow,pianoshow,pianoshow,C,110,15,SEMrush NL,HOOFD-KW silo
pianoshow,pianoshow,pianoshow boeken,C,110,6,SEMrush NL,KD 6 - LAAGSTE in hele KWO! Quick win
pianoshow,pianoshow,de pianoshow,n/a,30,n/a,SEMrush NL,
pianoband,pianoband,pianoband,I,30,14,SEMrush NL,SCHRAP/MERGE met pianoshow - laag volume
coverband,coverband,coverband,C,880,28,SEMrush NL,HOOFD-KW silo
coverband,coverband,coverband boeken,I,320,18,SEMrush NL,boekings-variant
coverband,coverband,coverband bruiloft,C,170,12,SEMrush NL,sub-pagina mogelijk
coverband,coverband,coverband huren,I,90,n/a,SEMrush NL,
bruiloftband,bruiloftband,bruiloftband,C,170,23,SEMrush NL,HOOFD-KW (specifieke term)
bruiloftband,bruiloftband,bruiloftbands,C,70,19,SEMrush NL,
bruiloftband,bruiloftband,bruiloftbands boeken,C,70,14,SEMrush NL,
bruiloftband,band bruiloft,band bruiloft,I,480,14,SEMrush NL,STERKER alternatief hoofd-KW
bruiloftband,band bruiloft,band op bruiloft,I,480,17,SEMrush NL,
bruiloftband,band bruiloft,bruiloft band,I,480,16,SEMrush NL,
bruiloftband,band bruiloft,band voor bruiloft,C,390,16,SEMrush NL,intent C - commercieel
bruiloftband,band bruiloft,bruiloft bands,C,390,14,SEMrush NL,
bruiloftband,band bruiloft,bruiloft band boeken,I,70,24,SEMrush NL,
bruiloftband,live muziek bruiloft,live muziek bruiloft,C,140,17,SEMrush NL,sub-pagina kandidaat
bruiloftband,live muziek bruiloft,bruiloft live muziek,I,110,14,SEMrush NL,
bedrijfsfeest-band,bedrijfsfeest band,bedrijfsfeest band,I,90,9,SEMrush NL,HOOFD-KW silo - KD 9
bedrijfsfeest-band,bedrijfsfeest band,band bedrijfsfeest,I,50,7,SEMrush NL,KD 7
bedrijfsfeest-band,bedrijfsfeest band,band boeken bedrijfsfeest,I,30,16,SEMrush NL,
bedrijfsfeest-band,personeelsfeest band,band voor personeelsfeest,I,40,3,SEMrush NL,KD 3 - quick win sub-pagina
jubileumband,jubileumband,jubileumband,n/a,0,n/a,SEMrush NL,SCHRAP - geen volume
jubileumband,band jubileum,band die 40 jarig jubileum viert,I,140,6,SEMrush NL,niet relevante intent (band-merknaam)
band huren (algemeen),band huren,band huren,C,210,28,SEMrush NL,brede term - past in /bezettingen
band huren (algemeen),band huren,band huren voor feest,C,70,23,SEMrush NL,
band huren (algemeen),band huren,band huren bruiloft,I,50,12,SEMrush NL,
band huren (algemeen),band huren,live band huren,C,50,12,SEMrush NL,
