seed,keyword,intent,volume,kd,cpc_eur,sf,bron,opmerking
live muziek breda,live muziek breda vandaag,I,320,14,0.00,3,SEMrush NL,event/agenda intent
live muziek breda,breda live muziek,n/a,110,n/a,1.64,,SEMrush NL,
live muziek breda,live muziek breda,C,110,14,0.85,4,SEMrush NL,HOOFD-KW voor live-muziek pagina
live muziek breda,live muziek in breda,C,110,19,0.85,4,SEMrush NL,variant met "in"
live muziek breda,cafe met live muziek breda,n/a,20,n/a,0.00,,SEMrush NL,laag - combineer met restaurant
live muziek breda,live muziek cafe breda,n/a,20,n/a,0.00,,SEMrush NL,
live muziek breda,live muziek café breda,n/a,20,n/a,0.00,,SEMrush NL,
live muziek breda,restaurant met live muziek breda,n/a,20,n/a,0.00,,SEMrush NL,laag - combineer met cafe
live muziek breda,live muziek breda zaterdag,n/a,10,n/a,0.00,,SEMrush NL,weekend variant
pianobar breda,pianobar breda,n/a,0,n/a,0.00,,SEMrush NL,SCHRAP - geen volume
pianobar (NL),pianobar,C,390,26,1.60,6,SEMrush NL,nationaal KW - kandidaat voor silo /pianobar
pianobar (NL),de grootste pianobar van nederland,n/a,70,n/a,0.00,,SEMrush NL,positionering-kans
pianobar (NL),pianobar rotterdam,n/a,30,n/a,0.00,,SEMrush NL,enige stad met volume
uitgaan breda,uitgaan breda,C,880,17,0.56,4,SEMrush NL,HOOFD-KW voor stad-hub /breda
uitgaan breda,breda uitgaan,C,880,17,0.56,5,SEMrush NL,variant
uitgaan breda,uitgaan in breda,C,720,16,0.56,5,SEMrush NL,variant
uitgaan breda,uitgaan breda agenda,n/a,20,n/a,0.00,,SEMrush NL,agenda-variant
uitgaan breda,uitgaan breda 30+,n/a,20,n/a,0.00,,SEMrush NL,leeftijd-variant - kan in pagina
uitgaan breda,uitgaan breda 16 jaar,n/a,20,n/a,0.00,,SEMrush NL,leeftijd-variant
uitgaan breda,uitgaan breda centrum,n/a,20,n/a,0.00,,SEMrush NL,locatie-variant
wat te doen breda,wat te doen in breda,I,2400,25,0.25,4,SEMrush NL,TOPPER - HOOFD-KW pagina
wat te doen breda,wat te doen in breda dit weekend,I,1300,22,0.25,4,SEMrush NL,weekend-variant
wat te doen breda,wat te doen in breda vandaag,I,390,26,0.34,3,SEMrush NL,vandaag-variant
wat te doen breda,wat is er in breda te doen,I,320,23,0.24,4,SEMrush NL,variant
wat te doen breda,wat is er te doen in breda,I,320,19,0.24,4,SEMrush NL,variant
wat te doen breda,wat is er te doen in breda vandaag,I,320,16,0.26,3,SEMrush NL,variant
wat te doen breda,wat te doen vandaag in breda,I,320,19,0.34,3,SEMrush NL,variant
wat te doen breda,wat te doen in breda centrum,I,260,19,0.34,5,SEMrush NL,centrum-variant
wat te doen breda,wat te doen in breda met vriendinnen,I,90,10,0.37,3,SEMrush NL,vriendinnen - lage KD
wat te doen breda,wat te doen in breda op zondag,I,70,16,0.35,3,SEMrush NL,zondag-variant
wat te doen breda,wat te doen in breda met kinderen,I,50,16,0.19,5,SEMrush NL,kinderen-variant
feestlocatie breda,feestlocatie breda,C,210,15,2.49,3,SEMrush NL,HOOFD-KW pagina
feestlocatie breda,breda feestlocatie,C,110,12,2.49,3,SEMrush NL,variant
feestlocatie breda,feestlocaties breda,n/a,70,n/a,1.20,,SEMrush NL,meervoud
feestlocatie breda,kleine feestlocatie breda,C,70,9,0.95,3,SEMrush NL,laag KD!
feestlocatie breda,feestlocatie breda en omgeving,C,50,14,1.50,4,SEMrush NL,omgeving-variant
feestlocatie breda,feestlocatie breda centrum,I,40,28,0.00,3,SEMrush NL,centrum-variant
trouwlocatie breda,trouwlocatie breda,C,320,21,0.97,3,SEMrush NL,HOOFD-KW pagina
trouwlocatie breda,trouwlocaties breda,C,170,22,0.97,3,SEMrush NL,meervoud
trouwlocatie breda,breda trouwlocatie,C,50,19,0.97,3,SEMrush NL,variant
trouwlocatie breda,trouwlocaties omgeving breda,C,30,14,1.01,4,SEMrush NL,omgeving
trouwlocatie breda,bijzondere trouwlocaties breda,n/a,20,n/a,0.00,,SEMrush NL,bijzonder-variant
trouwlocatie breda,unieke trouwlocaties breda,n/a,20,n/a,0.00,,SEMrush NL,uniek-variant
uitjes breda,uitjes breda,I,880,28,0.35,5,SEMrush NL,HOOFD-KW pagina
uitjes breda,breda uitjes,I,720,28,0.35,5,SEMrush NL,variant
uitjes breda,uitjes in breda,I,720,28,0.35,4,SEMrush NL,variant
uitjes breda,uitje breda,I,320,30,0.35,4,SEMrush NL,enkelvoud
uitjes breda,leuke uitjes breda,I,90,22,0.39,2,SEMrush NL,leuke-variant
uitjes breda,uitje breda 2 personen,I,90,10,0.40,2,SEMrush NL,2-personen
uitjes breda,team uitje breda,C,70,6,1.57,1,SEMrush NL,B2B intent - lage KD
uitjes breda,team uitjes breda,I,70,5,1.57,1,SEMrush NL,B2B intent - lage KD
uitjes breda,actief uitje breda,I,50,10,0.39,2,SEMrush NL,
uitjes breda,actieve uitjes breda,I,50,8,0.39,2,SEMrush NL,
uitjes breda,zakelijk uitje breda,n/a,30,n/a,0.00,,SEMrush NL,zakelijk-variant
bedrijfsuitje breda,bedrijfsuitje breda,C,320,6,1.28,3,SEMrush NL,HOOFD-KW - extreem lage KD!
bedrijfsuitje breda,bedrijfsuitjes breda,C,70,11,1.28,4,SEMrush NL,meervoud
bedrijfsuitje breda,bedrijfsuitje in breda,C,40,10,0.00,3,SEMrush NL,
bedrijfsuitje breda,bedrijfsuitje omgeving breda,I,30,9,0.00,2,SEMrush NL,omgeving
bedrijfsuitje breda,actief bedrijfsuitje breda,n/a,20,n/a,0.00,,SEMrush NL,actief-variant
vrijgezellenfeest breda,vrijgezellenfeest breda,I,390,11,0.43,5,SEMrush NL,HOOFD-KW pagina
vrijgezellenfeest breda,breda vrijgezellenfeest,I,320,5,0.43,3,SEMrush NL,KD 5!
vrijgezellenfeest breda,vrijgezellenfeest in breda,I,320,8,0.43,2,SEMrush NL,variant
vrijgezellenfeest breda,vrijgezellenfeest breda vrouwen,I,90,4,0.38,2,SEMrush NL,doelgroep - KD 4
vrijgezellenfeest breda,vrijgezellenfeest breda mannen,I,70,3,0.44,2,SEMrush NL,doelgroep - KD 3
vrijgezellenfeest breda,activiteiten breda vrijgezellenfeest,I,30,5,0.43,4,SEMrush NL,activiteiten-variant
date breda,date breda,I,140,12,0.00,0,SEMrush NL,HOOFD-KW
date breda,date ideeen breda,I,140,8,0.00,0,SEMrush NL,
date breda,breda date,I,110,6,0.00,0,SEMrush NL,
date breda,date idee breda,I,90,10,0.00,0,SEMrush NL,
date breda,date in breda,I,70,9,0.00,0,SEMrush NL,
date breda,daten in breda,I,40,4,0.00,0,SEMrush NL,KD 4
date breda,date night breda,I,30,14,0.00,0,SEMrush NL,
bezienswaardigheden breda,bezienswaardigheden breda,I,880,26,0.00,0,SEMrush NL,HOOFD-KW
bezienswaardigheden breda,breda bezienswaardigheden,C,880,26,0.00,0,SEMrush NL,variant
bezienswaardigheden breda,bezienswaardigheden in breda,I,720,26,0.00,0,SEMrush NL,variant
bezienswaardigheden breda,bezienswaardigheden breda binnenstad,I,30,18,0.00,0,SEMrush NL,binnenstad
kroegen breda,breda kroeg,C,480,63,0.00,0,SEMrush NL,KD hoog - moeilijk
kroegen breda,breda kroegen,C,480,42,0.00,0,SEMrush NL,KD 42
kroegen breda,kroegen breda,C,390,19,0.00,0,SEMrush NL,HOOFD-KW - haalbaar
kroegen breda,kroegen in breda,C,390,18,0.00,0,SEMrush NL,variant
stappen breda,breda stappen,C,140,n/a,0.00,0,SEMrush NL,HOOFD-KW
stappen breda,stappen breda,N,140,15,0.00,0,SEMrush NL,
stappen breda,stappen in breda,N,140,16,0.00,0,SEMrush NL,
stappen breda,happen en stappen breda,I,50,14,0.00,0,SEMrush NL,
avondje uit breda,avondje uit breda,I,110,11,0.00,0,SEMrush NL,HOOFD-KW
avondje uit breda,avondje uit in breda,I,90,15,0.00,0,SEMrush NL,variant
avondje uit breda,breda avondje uit,I,90,13,0.00,0,SEMrush NL,variant
lunch met live muziek breda,lunch met live muziek breda,n/a,0,n/a,0.00,,SEMrush NL,SCHRAP - geen volume
borrellocatie breda,borrellocatie breda,n/a,0,n/a,0.00,,SEMrush NL,SCHRAP - geen volume
verjaardagsfeest breda,verjaardagsfeest breda,n/a,0,n/a,0.00,,SEMrush NL,SCHRAP - geen volume
dineren met live muziek breda,dineren met live muziek breda,n/a,0,n/a,0.00,,SEMrush NL,SCHRAP - geen volume
evenementenlocatie breda,evenementenlocatie breda,C,210,34,0.00,0,SEMrush NL,HOOFD-KW
evenementenlocatie breda,evenementenlocaties breda,C,140,20,0.00,0,SEMrush NL,meervoud
evenementenlocatie breda,zakelijke evenementenlocatie in breda,C,40,17,0.00,0,SEMrush NL,zakelijk
evenementenlocatie breda,eden evenementenlocatie breda,N,30,19,0.00,0,SEMrush NL,merk
